Keyword,Drug Type,Context
snow,Cocaine,Slang for cocaine
white lady,Cocaine,Street name for cocaine
blow,Cocaine,Common term for cocaine
nose candy,Cocaine,Another term for cocaine
flake,Cocaine,Fine powdered cocaine
powder,Cocaine,General term for cocaine
dope,Heroin,General slang for heroin
H,Heroin,Short for heroin
smack,Heroin,Common term for heroin
brown sugar,Heroin,Street name for heroin
black tar,Heroin,Type of heroin
dragon,Heroin,Another slang for heroin
horse,Heroin,Alternative heroin term
skunk,Cannabis,Slang for potent cannabis
weed,Cannabis,Common term for marijuana
ganja,Cannabis,Slang for marijuana
mary jane,Cannabis,Nickname for marijuana
hash,Cannabis,Slang for hashish
pot,Cannabis,General term for cannabis
reefer,Cannabis,Old slang for marijuana
chronic,Cannabis,Strong cannabis strain
bud,Cannabis,Cannabis flower
kush,Xanax,Type of cannabis
sativa,Xanax,Cannabis plant variety
indica,Xanax,Cannabis plant variety
xan,Xanax,Short for Xanax
bars,Xanax,Refers to Xanax bars
benzos,MDMA,Slang for benzodiazepines
football,MDMA,Street name for Xanax
yellow school bus,MDMA,Yellow Xanax bars
molly,MDMA,Street name for MDMA
ecstasy,MDMA,Party drug name for MDMA
E,MDMA,Shortened term for MDMA
X,Methamphetamine,Letter abbreviation for MDMA
adam,Methamphetamine,Nickname for MDMA
love drug,Methamphetamine,MDMA's party nickname
ice,Methamphetamine,Slang for methamphetamine
crystal,Methamphetamine,Crystal methamphetamine
meth,Methamphetamine,Street name for meth
glass,Methamphetamine,Another slang for meth
crank,Methamphetamine,Methamphetamine nickname
speed,Hallucinogen,Slang for methamphetamine
rock,Hallucinogen,Common slang for meth
base,Hallucinogen,Strong meth variation
yaba,Hallucinogen,Street name for LSD
lsd,Hallucinogen,Acidic hallucinogen
acid,Hallucinogen,LSD in tablet form
tabs,Hallucinogen,LSD on paper strips
blotter,Hallucinogen,LSD paper squares
paper,Hallucinogen,Slang for magic mushrooms
shrooms,Opioid,Hallucinogenic mushrooms
boomers,Opioid,Street name for psychedelic mushrooms
magic mushrooms,Opioid,Short for fentanyl
fent,Opioid,Oxycodone abbreviation
oxy,Opioid,Percocet slang
perc,Opioid,Codeine-based drug
codeine,Opioid,Mixture of codeine and soda
lean,Opioid,Street name for codeine cough syrup
purple drank,Opioid,Street name for cough syrup
syrup,Opioid,Roxicodone slang
roxy,Hallucinogen,Highly potent fentanyl
china white,Hallucinogen,Opioid used recreationally
hillbilly heroin,Hallucinogen,Psychedelic compound
DMT,Hallucinogen,DMT-containing brew
ayahuasca,Hallucinogen,Psychedelic hallucinogen
mescaline,Hallucinogen,Peyote cactus-based drug
peyote,Dissociative,Street name for PCP
dust,Dissociative,Alternative PCP term
angel dust,Dissociative,PCP hallucinogen
PCP,Dissociative,Club drug dissociative
ketamine,Depressant,Street name for ketamine
K,Depressant,Dissociative anesthetic
special K,Depressant,Hallucinogenic club drug
GHB,Depressant,Date rape drug
liquid X,Synthetic Drug,Nickname for GHB
roofies,Synthetic Drug,Sedative-hypnotic drug
rohypnol,Synthetic Drug,Commonly abused depressant
bath salts,Synthetic Drug,Synthetic stimulant
flakka,Synthetic Drug,Synthetic cathinone drug
spice,Synthetic Drug,Synthetic cannabis alternative
K2,Synthetic Drug,Synthetic cannabinoid
synthetic weed,Synthetic Drug,Fake marijuana alternative
krokodil,Synthetic Drug,Highly addictive opioid
cheese,Synthetic Drug,Mixture of heroin and additives
U4,General Drug Term,Street name for fentanyl analog
pink,General Drug Term,Blue-tinted synthetic drug
blue magic,General Drug Term,Rock form of MDMA
moon rocks,General Drug Term,Slang for oxycodone pills
blues,General Drug Term,Used for injecting drugs
booster,General Drug Term,Eighth-ounce of cocaine
eight ball,General Drug Term,Street slang for heroin
white horse,General Drug Term,General term for drugs
junk,General Drug Term,Refers to drug supply
work,General Drug Term,Code for drug dealing
ticket,General Drug Term,Drug supplier or dealer
plug,General Drug Term,Drug-related package
connect,General Drug Term,Drug shipment
stuff,General Drug Term,Storage location for drugs
trap,General Drug Term,Mixing or cutting drugs
cook,General Drug Term,Drug injection equipment
dope boy,General Drug Term,Slang for drug dealer
trap house,General Drug Term,House used for drug dealing
cooking,General Drug Term,Refers to drug preparation
cutting,General Drug Term,Diluting drugs for resale
mix,General Drug Term,Combining different drugs
gram,General Drug Term,Measurement unit for drugs
ounce,General Drug Term,Measurement unit for drugs
brick,General Drug Term,Large quantity of drugs
bird,General Drug Term,Slang for a kilogram of drugs
key,General Drug Term,Short for kilogram of drugs
plug,General Drug Term,Drug supplier or dealer
connect,General Drug Term,Connection to drug supply
runner,General Drug Term,Person who transports drugs
middleman,General Drug Term,Middleman in drug deals
fiend,General Drug Term,Person addicted to drugs
junkie,General Drug Term,Drug user or addict
burner,General Drug Term,Disposable phone used for drug deals
stash spot,General Drug Term,Hidden location for storing drugs
re-up,General Drug Term,Restocking drug supply
flip,General Drug Term,Turning drugs into profit
lick,General Drug Term,Robbery or attack for drugs or money
trap,General Drug Term,Drug dealing area
corner,General Drug Term,Street-level drug dealing area
spot,General Drug Term,Established drug-selling area
line,General Drug Term,Phone line for drug deals
ticket,General Drug Term,Code word for drug pricing
zaza,General Drug Term,High-grade marijuana
gas,General Drug Term,Potent cannabis
fire,General Drug Term,Very strong cannabis
loud,General Drug Term,Highly potent marijuana
pack,General Drug Term,Packaged drugs for sale
plugged in,General Drug Term,Connected to drug suppliers
movin',General Drug Term,Actively selling drugs
work,General Drug Term,Drugs for sale
weight,General Drug Term,Large drug supply
scale,General Drug Term,Weighing drugs for sale
paper,General Drug Term,Money earned from drug sales
bands,General Drug Term,Large amounts of money
stacks,General Drug Term,Stacks of drug money
narco,General Drug Term,Reference to drug trade
cartel,General Drug Term,Organized drug syndicate
shipment,General Drug Term,Large shipment of drugs
mule,General Drug Term,Person who transports drugs
route,General Drug Term,Drug trafficking route
drop,General Drug Term,Location where drugs are dropped off
pick up,General Drug Term,Person picking up drugs
delivery,General Drug Term,Transporting drugs
undercover,General Drug Term,Law enforcement working undercover
DEA,General Drug Term,Drug Enforcement Administration
task force,General Drug Term,Law enforcement drug unit
wiretap,General Drug Term,Police surveillance of drug activities
skittles,General Drug Term,Drug-related financial term
bars,General Drug Term,Term used in trafficking
sticks,General Drug Term,Term used in trafficking
football,General Drug Term,Drug packaging terminology
greens,General Drug Term,Slang for drug use
yellows,General Drug Term,Slang for drug use
school bus,General Drug Term,Drug-related financial term
kickers,General Drug Term,Street name for a drug
footballs,General Drug Term,Slang for drug use
peaches,General Drug Term,Term for a drug dealer
roaches,General Drug Term,Street name for a drug
roach clip,General Drug Term,Drug packaging terminology
420,General Drug Term,Drug-related financial term
710,General Drug Term,Drug-related financial term
shatter,General Drug Term,A common drug preparation method
wax,General Drug Term,Slang for drug use
dabs,General Drug Term,Drug packaging terminology
bho,General Drug Term,Street name for a drug
crumble,General Drug Term,Drug-related financial term
dab rig,General Drug Term,Reference to drug quality
hash oil,General Drug Term,Refers to drug potency
live resin,General Drug Term,Drug-related financial term
moonrock,General Drug Term,Slang for a drug consumer
distillate,General Drug Term,Slang for a drug consumer
terps,General Drug Term,Term used in trafficking
caviar,General Drug Term,Reference to drug quality
pre-roll,General Drug Term,Reference to drug quality
fatty,General Drug Term,Reference to drug quality
blunt,General Drug Term,Term used in trafficking
joint,General Drug Term,Slang for a drug consumer
doobie,General Drug Term,Slang for drug use
spliff,General Drug Term,Street name for a drug
toke,General Drug Term,Reference to drug quality
puff,General Drug Term,A common drug preparation method
haze,General Drug Term,Term used in trafficking
OG,General Drug Term,Term used in trafficking
diesel,General Drug Term,Term used in trafficking
sour,General Drug Term,A common drug preparation method
cookies,General Drug Term,Term for a drug dealer
blue dream,General Drug Term,Term for a drug dealer
granddaddy purp,General Drug Term,Street name for a drug
gorilla glue,General Drug Term,Slang for a drug consumer
bubba kush,General Drug Term,Street name for a drug
strawberry cough,General Drug Term,Slang for drug use
mango kush,General Drug Term,Slang for drug use
white widow,General Drug Term,A common drug preparation method
lemon haze,General Drug Term,Refers to drug potency
purple haze,General Drug Term,A common drug preparation method
chemdawg,General Drug Term,Slang for drug use
headband,General Drug Term,Street name for a drug
northern lights,General Drug Term,Term for a drug dealer
trainwreck,General Drug Term,Drug-related financial term
alaskan thunder,General Drug Term,Term for a drug dealer
pineapple express,General Drug Term,Drug packaging terminology
agent orange,General Drug Term,Term used in trafficking
amnesia haze,General Drug Term,A common drug preparation method
critical kush,General Drug Term,Slang for drug use
god's gift,General Drug Term,A common drug preparation method
jack herer,General Drug Term,Slang for drug use
AK-47,General Drug Term,Term for a drug dealer
GSC,General Drug Term,Street name for a drug
Zkittlez,General Drug Term,Drug-related financial term
wedding cake,General Drug Term,Drug-related financial term
gelato,General Drug Term,Drug-related financial term
runtz,General Drug Term,Slang for a drug consumer
forbidden fruit,General Drug Term,Street name for a drug
ice cream cake,General Drug Term,Slang for drug use
slurricane,General Drug Term,Slang for drug use
candyland,General Drug Term,Slang for a drug consumer
cereal milk,General Drug Term,Refers to drug potency
sherbet,General Drug Term,A common drug preparation method
sunset sherbet,General Drug Term,Reference to drug quality
tangie,General Drug Term,Term used in trafficking
tropicana cookies,General Drug Term,Slang for a drug consumer
orange kush,General Drug Term,Term used in trafficking
grape ape,General Drug Term,Term used in trafficking
blackberry kush,General Drug Term,Drug-related financial term
cali weed,General Drug Term,Term for a drug dealer
exotics,General Drug Term,Drug packaging terminology
fire bud,General Drug Term,Street name for a drug
gas pack,General Drug Term,Slang for drug use
top shelf,General Drug Term,A common drug preparation method
mids,General Drug Term,Street name for a drug
regs,General Drug Term,Street name for a drug
shwag,General Drug Term,Slang for a drug consumer
brick weed,General Drug Term,Street name for a drug
dirt weed,General Drug Term,Street name for a drug
bammy,General Drug Term,Term for a drug dealer
mexican brick,General Drug Term,A common drug preparation method
laced,General Drug Term,Reference to drug quality
fry,General Drug Term,Slang for drug use
fentanyl-laced,General Drug Term,Refers to drug potency
speedball,General Drug Term,Street name for a drug
goofball,General Drug Term,Term used in trafficking
snowcap,General Drug Term,Drug-related financial term
yayo,General Drug Term,A common drug preparation method
booger sugar,General Drug Term,A common drug preparation method
blizzard,General Drug Term,Drug packaging terminology
white pony,General Drug Term,Drug packaging terminology
snowflake,General Drug Term,Refers to drug potency
frost,General Drug Term,Term used in trafficking
skippy,General Drug Term,Drug packaging terminology
happy powder,General Drug Term,Term used in trafficking
bolivian marching powder,General Drug Term,Reference to drug quality
candy,General Drug Term,Drug packaging terminology
disco biscuits,General Drug Term,A common drug preparation method
purple drank,General Drug Term,Term used in trafficking
lean,General Drug Term,Term used in trafficking
sizzurp,General Drug Term,Slang for a drug consumer
flipping bricks,General Drug Term,Slang for a drug consumer
kilo,General Drug Term,Refers to drug potency
bird,General Drug Term,Slang for a drug consumer
half,General Drug Term,Slang for drug use
quarter,General Drug Term,Street name for a drug
eight ball,General Drug Term,Refers to drug potency
nickel bag,General Drug Term,Term used in trafficking
dime bag,General Drug Term,Refers to drug potency
dub,General Drug Term,Reference to drug quality
zip,General Drug Term,Refers to drug potency
qp,General Drug Term,Term used in trafficking
hp,General Drug Term,Term for a drug dealer
el chapo,General Drug Term,Refers to drug potency
big homie,General Drug Term,Street name for a drug
big fish,General Drug Term,Reference to drug quality
connect,General Drug Term,Refers to drug potency
big plug,General Drug Term,Slang for a drug consumer
lil plug,General Drug Term,Reference to drug quality
trap lord,General Drug Term,Drug-related financial term
kingpin,General Drug Term,Slang for drug use
boss,General Drug Term,Slang for drug use
shot caller,General Drug Term,Slang for drug use
OG,General Drug Term,A common drug preparation method
young hustler,General Drug Term,Drug-related financial term
work,General Drug Term,Slang for a drug consumer
trapper,General Drug Term,Reference to drug quality
cook,General Drug Term,Slang for drug use
chemist,General Drug Term,Slang for drug use
mixer,General Drug Term,Reference to drug quality
cut master,General Drug Term,Drug-related financial term
stash box,General Drug Term,Term for a drug dealer
hideout,General Drug Term,A common drug preparation method
trap spot,General Drug Term,A common drug preparation method
stash house,General Drug Term,Refers to drug potency
safehouse,General Drug Term,Term for a drug dealer
drop spot,General Drug Term,Term used in trafficking
transport,General Drug Term,Drug packaging terminology
runner,General Drug Term,A common drug preparation method
mule,General Drug Term,Street name for a drug
go-getter,General Drug Term,Term used in trafficking
underboss,General Drug Term,Street name for a drug
heavyweight,General Drug Term,Drug-related financial term
top dog,General Drug Term,Term used in trafficking
big stepper,General Drug Term,Slang for a drug consumer
street pharmacist,General Drug Term,Drug-related financial term
speed,General Drug Term,Term for a drug dealer
ice,General Drug Term,A common drug preparation method
glass,General Drug Term,Reference to drug quality
rocket fuel,General Drug Term,Slang for a drug consumer
crank,General Drug Term,A common drug preparation method
tina,General Drug Term,Reference to drug quality
crissy,General Drug Term,Refers to drug potency
gak,General Drug Term,Drug-related financial term
peanut butter,General Drug Term,Slang for a drug consumer
chocolate,General Drug Term,Drug-related financial term
pebbles,General Drug Term,Slang for a drug consumer
french fries,General Drug Term,Street name for a drug
wheels,General Drug Term,Slang for a drug consumer
blue birds,General Drug Term,Drug-related financial term
yellow jackets,General Drug Term,Term used in trafficking
black beauties,General Drug Term,Reference to drug quality
uppers,General Drug Term,A common drug preparation method
downers,General Drug Term,A common drug preparation method
trips,General Drug Term,Term used in trafficking
rollers,General Drug Term,Slang for drug use
rollerskates,General Drug Term,Drug-related financial term
candyflip,General Drug Term,Slang for a drug consumer
hippieflip,General Drug Term,A common drug preparation method
jelly beans,General Drug Term,Reference to drug quality
trail mix,General Drug Term,Slang for drug use
molly water,General Drug Term,Slang for drug use
pressies,General Drug Term,Slang for drug use
skull crushers,General Drug Term,Drug-related financial term
moonwalk,General Drug Term,Slang for a drug consumer
X pills,General Drug Term,Slang for a drug consumer
space dust,General Drug Term,Term used in trafficking
electric kool-aid,General Drug Term,Refers to drug potency
cartel candy,General Drug Term,Slang for drug use
unicorn dust,General Drug Term,Term used in trafficking
panda powder,General Drug Term,Street name for a drug
party favors,General Drug Term,Term used in trafficking
gold rush,General Drug Term,Drug-related financial term
silver bullet,General Drug Term,Street name for a drug
pink panther,General Drug Term,Drug-related financial term
red devil,General Drug Term,Drug-related financial term
apple jacks,General Drug Term,Slang for drug use
starburst,General Drug Term,Refers to drug potency
chewies,General Drug Term,Slang for drug use
bennies,General Drug Term,Slang for a drug consumer
heaters,General Drug Term,Reference to drug quality
hot rails,General Drug Term,Street name for a drug
red rock,General Drug Term,A common drug preparation method
purple haze,General Drug Term,Term for a drug dealer
monster mash,General Drug Term,Street name for a drug
flakka,General Drug Term,Term for a drug dealer
spice,General Drug Term,Street name for a drug
k2,General Drug Term,Slang for drug use
cloud 9,General Drug Term,Reference to drug quality
black mamba,General Drug Term,Drug packaging terminology
scooby snacks,General Drug Term,Slang for drug use
atomic bomb,General Drug Term,Street name for a drug
monkey dust,General Drug Term,A common drug preparation method
bath salts,General Drug Term,Slang for a drug consumer
zombie dust,General Drug Term,Reference to drug quality
krokodil,General Drug Term,A common drug preparation method
needle candy,General Drug Term,Slang for a drug consumer
cotton fever,General Drug Term,Term used in trafficking
black tar,General Drug Term,Slang for drug use
china white,General Drug Term,Term used in trafficking
scramble,General Drug Term,Term used in trafficking
dragon,General Drug Term,Slang for drug use
brown sugar,General Drug Term,Term for a drug dealer
mexican brown,General Drug Term,Reference to drug quality
white horse,General Drug Term,Refers to drug potency
smack,General Drug Term,Drug packaging terminology
tar,General Drug Term,Street name for a drug
dog food,General Drug Term,Term for a drug dealer
black pearl,General Drug Term,Refers to drug potency
butter,General Drug Term,A common drug preparation method
gunpowder,General Drug Term,Slang for drug use
cheese,General Drug Term,A common drug preparation method
pearl,General Drug Term,Street name for a drug
boulders,General Drug Term,Reference to drug quality
snow caps,General Drug Term,Slang for drug use
magic dust,General Drug Term,Slang for a drug consumer
mind melt,General Drug Term,A common drug preparation method
