Keyword,Drug Type,Context
phantom,General Drug Term,Reference to drug quality
superman,General Drug Term,Drug packaging terminology
rainbow pills,General Drug Term,Refers to drug potency
diamond dust,General Drug Term,Slang for a drug consumer
kryptonite,General Drug Term,Drug packaging terminology
powder keg,General Drug Term,Term for a drug dealer
boomers,General Drug Term,Term for a drug dealer
zombie,General Drug Term,Street name for a drug
looney tunes,General Drug Term,Street name for a drug
cherry bombs,General Drug Term,Reference to drug quality
green goblin,General Drug Term,Slang for drug use
white dove,General Drug Term,Drug-related financial term
purple elephant,General Drug Term,Slang for drug use
blue dolphins,General Drug Term,Term used in trafficking
orange teslas,General Drug Term,Drug-related financial term
yellow playboys,General Drug Term,Term used in trafficking
mystic,General Drug Term,Term used in trafficking
dark crystal,General Drug Term,Slang for drug use
sunshine,General Drug Term,Slang for drug use
fast cash,General Drug Term,Street name for a drug
hand-to-hand,General Drug Term,Slang for a drug consumer
prepaid,General Drug Term,Term for a drug dealer
hot box,General Drug Term,Slang for drug use
road trip,General Drug Term,A common drug preparation method
border jump,General Drug Term,Term for a drug dealer
night run,General Drug Term,Slang for drug use
boomerang,General Drug Term,Reference to drug quality
fronted,General Drug Term,Drug-related financial term
half cut,General Drug Term,A common drug preparation method
long haul,General Drug Term,Slang for drug use
quick flip,General Drug Term,Slang for drug use
cold drop,General Drug Term,Slang for drug use
heat score,General Drug Term,Street name for a drug
wired,General Drug Term,Term used in trafficking
heavy load,General Drug Term,Street name for a drug
flooded,General Drug Term,Term used in trafficking
taxed,General Drug Term,Street name for a drug
stash and dash,General Drug Term,Drug-related financial term
under the table,General Drug Term,Reference to drug quality
Looking to grab a little something for the weekend,Cocaine,Common phrase referring to cocaine
Can you hook me up with that special package?,Fentanyl,Common phrase referring to fentanyl
Need some extra fuel to keep me going,Cocaine,Common phrase referring to cocaine
"That last batch was fire, got any more?",Heroin,Common phrase referring to heroin
I'm trying to get something strong for the night,Heroin,Common phrase referring to heroin
Looking for something to take the edge off,Methamphetamine,Common phrase referring to methamphetamine
Where can I find the best stuff around here?,MDMA,Common phrase referring to mdma
This new supplier has the purest product,Fentanyl,Common phrase referring to fentanyl
Trying to get some Molly for the festival,Heroin,Common phrase referring to heroin
I need some good tabs for the weekend,Opioids,Common phrase referring to opioids
Can you front me a little until next time?,Methamphetamine,Common phrase referring to methamphetamine
Got any blues on deck?,Cocaine,Common phrase referring to cocaine
"That last hit was smooth, need another",Benzodiazepines,Common phrase referring to benzodiazepines
This plug always comes through with the best,Opioids,Common phrase referring to opioids
I know a guy who gets it straight from the source,Benzodiazepines,Common phrase referring to benzodiazepines
"That connect has been running dry, need a new one",Marijuana,Common phrase referring to marijuana
"My stash is running low, need to re-up",Opioids,Common phrase referring to opioids
Trying to score something discreet,Cocaine,Common phrase referring to cocaine
Need a new batch before the big event,Methamphetamine,Common phrase referring to methamphetamine
Looking to push some weight this week,Methamphetamine,Common phrase referring to methamphetamine
Can you get me something high-quality?,Opioids,Common phrase referring to opioids
Looking to roll hard on some good stuff,Marijuana,Common phrase referring to marijuana
"This strain is next level, need more",LSD,Common phrase referring to lsd
Got any solid connects in this area?,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Methamphetamine,Common phrase referring to methamphetamine
"My usual source is out, need an alternative",Cocaine,Common phrase referring to cocaine
Looking to move some big quantities soon,Opioids,Common phrase referring to opioids
Trying to keep the supply chain steady,Cocaine,Common phrase referring to cocaine
Need something to get through the night,Cocaine,Common phrase referring to cocaine
"That last deal went smooth, let's do it again",Cocaine,Common phrase referring to cocaine
Looking to score discreetly,Opioids,Common phrase referring to opioids
Can you make a quick drop?,Methamphetamine,Common phrase referring to methamphetamine
This is the best quality I’ve had in a while,MDMA,Common phrase referring to mdma
Trying to stay low-key with this one,Methamphetamine,Common phrase referring to methamphetamine
"My regular guy is dry, need a backup",Fentanyl,Common phrase referring to fentanyl
Need a new link for something fresh,Heroin,Common phrase referring to heroin
Trying to find something top-tier,Benzodiazepines,Common phrase referring to benzodiazepines
"This batch needs to be pure, no cut",Marijuana,Common phrase referring to marijuana
Need something that hits harder this time,Opioids,Common phrase referring to opioids
Looking to double up on the next run,Methamphetamine,Common phrase referring to methamphetamine
Can you deliver to a safe spot?,MDMA,Common phrase referring to mdma
This needs to stay off the radar,Methamphetamine,Common phrase referring to methamphetamine
Looking for something stronger than last time,Fentanyl,Common phrase referring to fentanyl
Got any high-grade stuff left?,Benzodiazepines,Common phrase referring to benzodiazepines
"This is moving fast, need to restock",LSD,Common phrase referring to lsd
Looking to test the new batch,Heroin,Common phrase referring to heroin
Need a reliable source for the long term,MDMA,Common phrase referring to mdma
Can you get me the best product available?,Heroin,Common phrase referring to heroin
This deal needs to go smoothly,Methamphetamine,Common phrase referring to methamphetamine
I need something that won’t show up on tests,LSD,Common phrase referring to lsd
Trying to get some Molly for the festival,Marijuana,Common phrase referring to marijuana
"This batch needs to be pure, no cut",Fentanyl,Common phrase referring to fentanyl
"My regular guy is dry, need a backup",Fentanyl,Common phrase referring to fentanyl
Got any blues on deck?,Cocaine,Common phrase referring to cocaine
Looking to double up on the next run,Benzodiazepines,Common phrase referring to benzodiazepines
This is the best quality I’ve had in a while,Opioids,Common phrase referring to opioids
Looking to push some weight this week,Heroin,Common phrase referring to heroin
This plug always comes through with the best,Heroin,Common phrase referring to heroin
"This strain is next level, need more",Fentanyl,Common phrase referring to fentanyl
"This batch needs to be pure, no cut",Benzodiazepines,Common phrase referring to benzodiazepines
Can you hook me up with that special package?,Marijuana,Common phrase referring to marijuana
"This strain is next level, need more",MDMA,Common phrase referring to mdma
This plug always comes through with the best,MDMA,Common phrase referring to mdma
Trying to get some Molly for the festival,Heroin,Common phrase referring to heroin
Where can I grab some quality goods?,Opioids,Common phrase referring to opioids
Can you front me a little until next time?,Cocaine,Common phrase referring to cocaine
This is the best quality I’ve had in a while,LSD,Common phrase referring to lsd
Need something to get through the night,Marijuana,Common phrase referring to marijuana
Got any high-grade stuff left?,Fentanyl,Common phrase referring to fentanyl
Looking to double up on the next run,Benzodiazepines,Common phrase referring to benzodiazepines
Trying to stay low-key with this one,Marijuana,Common phrase referring to marijuana
Trying to find something top-tier,Methamphetamine,Common phrase referring to methamphetamine
Got any high-grade stuff left?,Opioids,Common phrase referring to opioids
Where can I grab some quality goods?,MDMA,Common phrase referring to mdma
"My stash is running low, need to re-up",Benzodiazepines,Common phrase referring to benzodiazepines
This needs to stay off the radar,Benzodiazepines,Common phrase referring to benzodiazepines
This needs to stay off the radar,Marijuana,Common phrase referring to marijuana
This is the best quality I’ve had in a while,Benzodiazepines,Common phrase referring to benzodiazepines
Trying to find something top-tier,Fentanyl,Common phrase referring to fentanyl
Looking to roll hard on some good stuff,Opioids,Common phrase referring to opioids
Can you deliver to a safe spot?,Heroin,Common phrase referring to heroin
Looking to roll hard on some good stuff,Benzodiazepines,Common phrase referring to benzodiazepines
Where can I grab some quality goods?,Heroin,Common phrase referring to heroin
This is the best quality I’ve had in a while,MDMA,Common phrase referring to mdma
This plug always comes through with the best,Benzodiazepines,Common phrase referring to benzodiazepines
"This batch needs to be pure, no cut",MDMA,Common phrase referring to mdma
I'm trying to get something strong for the night,Heroin,Common phrase referring to heroin
Trying to find something top-tier,Benzodiazepines,Common phrase referring to benzodiazepines
"This batch needs to be pure, no cut",Opioids,Common phrase referring to opioids
Trying to keep the supply chain steady,Cocaine,Common phrase referring to cocaine
Where can I grab some quality goods?,Heroin,Common phrase referring to heroin
This plug always comes through with the best,Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,Benzodiazepines,Common phrase referring to benzodiazepines
This plug always comes through with the best,Fentanyl,Common phrase referring to fentanyl
Can you front me a little until next time?,LSD,Common phrase referring to lsd
Trying to keep the supply chain steady,Marijuana,Common phrase referring to marijuana
Trying to score something discreet,LSD,Common phrase referring to lsd
Need a new batch before the big event,Marijuana,Common phrase referring to marijuana
I need some good tabs for the weekend,MDMA,Common phrase referring to mdma
Looking to grab a little something for the weekend,Marijuana,Common phrase referring to marijuana
Trying to stay low-key with this one,Opioids,Common phrase referring to opioids
Where can I grab some quality goods?,Benzodiazepines,Common phrase referring to benzodiazepines
Trying to keep the supply chain steady,MDMA,Common phrase referring to mdma
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
"This strain is next level, need more",Cocaine,Common phrase referring to cocaine
Looking to push some weight this week,MDMA,Common phrase referring to mdma
"That last hit was smooth, need another",MDMA,Common phrase referring to mdma
I need some good tabs for the weekend,Fentanyl,Common phrase referring to fentanyl
This needs to stay off the radar,Fentanyl,Common phrase referring to fentanyl
Where can I grab some quality goods?,LSD,Common phrase referring to lsd
Got any high-grade stuff left?,Fentanyl,Common phrase referring to fentanyl
Looking for something stronger than last time,Cocaine,Common phrase referring to cocaine
This plug always comes through with the best,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Cocaine,Common phrase referring to cocaine
Trying to stay low-key with this one,Opioids,Common phrase referring to opioids
Where can I grab some quality goods?,Fentanyl,Common phrase referring to fentanyl
This is the best quality I’ve had in a while,MDMA,Common phrase referring to mdma
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
Looking for something stronger than last time,Fentanyl,Common phrase referring to fentanyl
Need a reliable source for the long term,Methamphetamine,Common phrase referring to methamphetamine
Need something to get through the night,Benzodiazepines,Common phrase referring to benzodiazepines
Got any blues on deck?,MDMA,Common phrase referring to mdma
"This batch needs to be pure, no cut",Marijuana,Common phrase referring to marijuana
"My stash is running low, need to re-up",Methamphetamine,Common phrase referring to methamphetamine
"That last batch was fire, got any more?",Heroin,Common phrase referring to heroin
Trying to find something top-tier,MDMA,Common phrase referring to mdma
Looking to push some weight this week,Heroin,Common phrase referring to heroin
Where can I grab some quality goods?,Opioids,Common phrase referring to opioids
Need something to get through the night,Benzodiazepines,Common phrase referring to benzodiazepines
Looking to score discreetly,Benzodiazepines,Common phrase referring to benzodiazepines
"This batch needs to be pure, no cut",Methamphetamine,Common phrase referring to methamphetamine
"This batch needs to be pure, no cut",Cocaine,Common phrase referring to cocaine
"That last deal went smooth, let's do it again",Cocaine,Common phrase referring to cocaine
This is the best quality I’ve had in a while,Cocaine,Common phrase referring to cocaine
Trying to stay low-key with this one,Opioids,Common phrase referring to opioids
Trying to stay low-key with this one,Methamphetamine,Common phrase referring to methamphetamine
Can you deliver to a safe spot?,Cocaine,Common phrase referring to cocaine
This is the best quality I’ve had in a while,Benzodiazepines,Common phrase referring to benzodiazepines
"That last deal went smooth, let's do it again",MDMA,Common phrase referring to mdma
Trying to find something top-tier,MDMA,Common phrase referring to mdma
This needs to stay off the radar,Heroin,Common phrase referring to heroin
Need something to get through the night,Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,Methamphetamine,Common phrase referring to methamphetamine
"This batch needs to be pure, no cut",Fentanyl,Common phrase referring to fentanyl
Trying to get some Molly for the festival,Fentanyl,Common phrase referring to fentanyl
Where can I grab some quality goods?,MDMA,Common phrase referring to mdma
This plug always comes through with the best,LSD,Common phrase referring to lsd
"That last batch was fire, got any more?",Benzodiazepines,Common phrase referring to benzodiazepines
This is the best quality I’ve had in a while,Benzodiazepines,Common phrase referring to benzodiazepines
Got any high-grade stuff left?,Methamphetamine,Common phrase referring to methamphetamine
"That last deal went smooth, let's do it again",Methamphetamine,Common phrase referring to methamphetamine
Looking to grab a little something for the weekend,Marijuana,Common phrase referring to marijuana
This plug always comes through with the best,LSD,Common phrase referring to lsd
"That last batch was fire, got any more?",Cocaine,Common phrase referring to cocaine
Where can I grab some quality goods?,LSD,Common phrase referring to lsd
Looking to roll hard on some good stuff,Heroin,Common phrase referring to heroin
Where can I grab some quality goods?,Benzodiazepines,Common phrase referring to benzodiazepines
This plug always comes through with the best,Fentanyl,Common phrase referring to fentanyl
Can you deliver to a safe spot?,Fentanyl,Common phrase referring to fentanyl
"This batch needs to be pure, no cut",Heroin,Common phrase referring to heroin
Can you front me a little until next time?,MDMA,Common phrase referring to mdma
Where can I grab some quality goods?,Cocaine,Common phrase referring to cocaine
This plug always comes through with the best,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Heroin,Common phrase referring to heroin
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
Got any high-grade stuff left?,Cocaine,Common phrase referring to cocaine
Got any high-grade stuff left?,Cocaine,Common phrase referring to cocaine
Can you front me a little until next time?,LSD,Common phrase referring to lsd
Can you hook me up with that special package?,Methamphetamine,Common phrase referring to methamphetamine
Trying to stay low-key with this one,LSD,Common phrase referring to lsd
This needs to stay off the radar,Cocaine,Common phrase referring to cocaine
Trying to keep the supply chain steady,Heroin,Common phrase referring to heroin
Looking to roll hard on some good stuff,Opioids,Common phrase referring to opioids
Looking to push some weight this week,LSD,Common phrase referring to lsd
Where can I grab some quality goods?,Benzodiazepines,Common phrase referring to benzodiazepines
This is the best quality I’ve had in a while,LSD,Common phrase referring to lsd
"This batch needs to be pure, no cut",MDMA,Common phrase referring to mdma
"This batch needs to be pure, no cut",Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,Cocaine,Common phrase referring to cocaine
This new supplier has the purest product,Cocaine,Common phrase referring to cocaine
Trying to stay low-key with this one,LSD,Common phrase referring to lsd
Got any solid connects in this area?,LSD,Common phrase referring to lsd
I know a guy who gets it straight from the source,Opioids,Common phrase referring to opioids
This is the best quality I’ve had in a while,Fentanyl,Common phrase referring to fentanyl
This is the best quality I’ve had in a while,Benzodiazepines,Common phrase referring to benzodiazepines
This new supplier has the purest product,Marijuana,Common phrase referring to marijuana
Looking to grab a little something for the weekend,Methamphetamine,Common phrase referring to methamphetamine
Trying to find something top-tier,MDMA,Common phrase referring to mdma
This needs to stay off the radar,MDMA,Common phrase referring to mdma
Trying to keep the supply chain steady,Cocaine,Common phrase referring to cocaine
This is the best quality I’ve had in a while,Cocaine,Common phrase referring to cocaine
This plug always comes through with the best,Methamphetamine,Common phrase referring to methamphetamine
"My stash is running low, need to re-up",Cocaine,Common phrase referring to cocaine
I know a guy who gets it straight from the source,Methamphetamine,Common phrase referring to methamphetamine
I know a guy who gets it straight from the source,Heroin,Common phrase referring to heroin
Trying to stay low-key with this one,Cocaine,Common phrase referring to cocaine
Can you front me a little until next time?,Heroin,Common phrase referring to heroin
Got any high-grade stuff left?,Heroin,Common phrase referring to heroin
This plug always comes through with the best,Heroin,Common phrase referring to heroin
Where can I grab some quality goods?,Fentanyl,Common phrase referring to fentanyl
